Subject geographic 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"Lima, Peru","Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru","Cusco, Peru","Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru","Apurimac, Peru","Ayacucho, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Piura, Peru","Junín, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Junín, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Loreto, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
